seriesTitle,genre,metascore,started_android,completed_android,completed_ios,started_ios,readCount,loveCount,editorsChoice
A Midsummer Night's Dream,Comedy,undefined,407,14,58,463,95,undefined,false
Babysitting,Comedy,39.6328010449625,163736,44592,114821,301821,717202,5986,false
Bad Dog,Comedy,42.10353293363577,9288,1552,6758,17617,8582,140,false
Baggage Claim,Comedy,49.28141989947652,1007,145,434,617,1124,31,false
Belphegor's Prime,Comedy,43.901419073144595,1076,66,173,229,1362,66,false
Black Friday Scramble,Comedy,40.521505109996475,4159,402,1489,2412,4006,91,false
Boys Night Out,Comedy,53.62978970670467,7543,2023,9072,17581,45589,1148,false
Calling Your Bluff,Comedy,43.88222178448683,4187,422,1256,2056,2773,78,false
Car Keys in Love ,Comedy,50.815970340329436,1101,210,600,983,941,28,false
Christmas Crawler,Comedy,55.622178693018796,1705,508,1857,3157,2757,65,false
Customer Service,Comedy,44.51801471485096,24389,6102,21355,48461,134144,2392,false
Death By Hospital,Comedy,46.65366520487957,14003,1625,6862,12700,15728,357,false
December Coal,Comedy,44.202349276388084,1411,141,377,521,1027,43,false
Defecatus Interruptus,Comedy,54.88557571242668,15425,4902,11251,19461,66701,1373,false
Dinesh Goes to a Bar,Comedy,40.17053696919522,444,48,135,210,970,24,false
Dinner Party,Comedy,54.44740300548504,430,55,159,238,1519,65,false
Don't Tell,Comedy,45.91917359080867,3286,455,1927,3762,8932,250,false
E-mail,Comedy,54.44626593806922,1150,114,310,497,860,46,false
Family Business,Comedy,49.7208492097663,1453,132,469,790,1695,68,false
Finders Keepers,Comedy,52.441384731060175,18445,5726,13452,22572,80220,1591,false
Flip This Party,Comedy,41.53517557456936,5832,524,1631,3334,3646,75,false
Get on Your Bike,Comedy,43.790121683951234,830,70,183,309,824,20,false
Halloween Zombie Massacre,Comedy,47.24595844798639,2867,259,735,1243,1527,54,false
High Times,Comedy,49.73932118305184,1181,133,457,693,1751,56,false
Home Sweet Home,Comedy,49.72962502859045,966,108,1645,3598,5145,177,false
Hot Mess,Comedy,47.02468822468647,4213,938,6382,15471,10752,104,false
Inner Voices ,Comedy,44.309375167690355,2948,556,2230,5793,2997,42,false
Jeb's New Image,Comedy,44.64535302042191,425,43,108,183,191,4,false
Kevorkian Kitty,Comedy,57.471868968894796,2863,836,2417,4094,4360,125,false
Lolita,Comedy,42.14431148156707,2918,214,733,1593,3053,74,false
Loosen Up,Comedy,45.421852216946135,918,154,382,555,1323,46,false
